sample	locus	read_count	molecule_count
09R_S4_R1_001	ABCC3	0	0
09R_S4_R1_001	ACADSB	10	10
09R_S4_R1_001	ANXA2	4620	4412
09R_S4_R1_001	ANXA4	624	618
09R_S4_R1_001	AOX1	2	2
09R_S4_R1_001	APOD	23	23
09R_S4_R1_001	AQP3	95	95
09R_S4_R1_001	ARG2	19	19
09R_S4_R1_001	ARID5B	12	12
09R_S4_R1_001	BCL6	11	11
09R_S4_R1_001	C10orf10	153	152
09R_S4_R1_001	C1R	266	264
09R_S4_R1_001	C4BPA	38	37
09R_S4_R1_001	CD55	145	145
09R_S4_R1_001	CEBPD	297	297
09R_S4_R1_001	CFD	39	39
09R_S4_R1_001	CLDN4	309	308
09R_S4_R1_001	COMP	0	0
09R_S4_R1_001	CP	151	151
09R_S4_R1_001	CRABP2	71	70
09R_S4_R1_001	CYC1	105	104
09R_S4_R1_001	DDX52	30	30
09R_S4_R1_001	DEFB1	378	375
09R_S4_R1_001	DKK1	12	12
09R_S4_R1_001	DPP4	15	15
09R_S4_R1_001	DYNLT3	565	558
09R_S4_R1_001	EDN3	20	20
09R_S4_R1_001	EDNRB	58	58
09R_S4_R1_001	EFNA1	119	118
09R_S4_R1_001	ENPEP	1	1
09R_S4_R1_001	ERCC_00004	1762	1729
09R_S4_R1_001	ERCC_00108	174	173
09R_S4_R1_001	ERCC_00116	31	30
09R_S4_R1_001	ERCC_00136	281	278
09R_S4_R1_001	G0S2	115	115
09R_S4_R1_001	GADD45A	39	39
09R_S4_R1_001	GBP2	168	166
09R_S4_R1_001	GNLY	368	366
09R_S4_R1_001	GPX3	42	42
09R_S4_R1_001	HABP2	1	1
09R_S4_R1_001	HMBS	24	24
09R_S4_R1_001	ID4	401	399
09R_S4_R1_001	IDO1	175	175
09R_S4_R1_001	IGFBP1	1	1
09R_S4_R1_001	IL15	74	71
09R_S4_R1_001	LAMB3	23	23
09R_S4_R1_001	MAOA	169	168
09R_S4_R1_001	MAP3K5	56	56
09R_S4_R1_001	MMP7	13	13
09R_S4_R1_001	MT1G	4972	4739
09R_S4_R1_001	MT1H	310	307
09R_S4_R1_001	NDRG1	42	42
09R_S4_R1_001	NNMT	30	30
09R_S4_R1_001	OLFM1	10	10
09R_S4_R1_001	PAEP	107	106
09R_S4_R1_001	PRUNE2	20	20
09R_S4_R1_001	S100P	103	103
09R_S4_R1_001	SDHA	222	221
09R_S4_R1_001	SERPING1	217	214
09R_S4_R1_001	SFRP4	94	93
09R_S4_R1_001	SLC1A1	8	8
09R_S4_R1_001	SPP1	1627	1595
09R_S4_R1_001	TBP	49	49
09R_S4_R1_001	TCN1	7	7
09R_S4_R1_001	TSPAN8	13	13
09R_S4_R1_001	unmatched	1322	731
